Method Signature,Our Invocations,Our Execution Time (ms),Joular Energy (J),Joular Invocations,Joular TotalTime (ms)
java.util.ServiceLoader$2.checkReloadCount(),2,0.01449,0.00736,0,0.00000
java.util.concurrent.ConcurrentHashMap$MapEntry.getValue(),38,0.02478,0.01697,0,0.00000
"sun.util.locale.provider.LocaleProviderAdapter.getAdapter(java.lang.Class,java.util.Locale)",2,405.74214,nan,0,0.00000
sun.launcher.LauncherHelper.validateMainMethod(java.lang.Class),1,0.47014,1.03157,0,0.00000
java.util.ServiceLoader$2.next(),1,0.17096,0.23202,0,0.00000
"sun.launcher.LauncherHelper.checkAndLoadMain(boolean,int,java.lang.String)",1,0.76389,2.71809,0,0.00000
java.util.ServiceLoader$ProviderImpl.get(),1,0.12918,0.23202,0,0.00000
"sun.launcher.LauncherHelper.loadMainClass(int,java.lang.String)",1,0.21333,1.68652,0,0.00000
java.util.concurrent.ConcurrentHashMap$MapEntry.getKey(),76,0.02700,0.01517,0,0.00000
java.util.ListResourceBundle.handleGetObject(java.lang.String),3,0.00668,0.00621,0,0.00000
java.util.ServiceLoader$2.hasNext(),1,10.89863,0.60696,0,0.00000
java.util.ServiceLoader$ProviderImpl.newInstance(),1,0.11694,0.23202,0,0.00000
